CCY_ISO,FX_RATE_DATE,FX_RATE,IMPORTATION_DATE,IMPORTED_BY
MDL,30-6-2020 00:00:00,17.15,7-9-2020 10:40:54,Kevin.Allamagbo
MDL,30-9-2020 00:00:00,16.96,24-11-2020 11:32:48,Kevin.Allamagbo
MMK,31-3-2020 00:00:00,1398.97,3-6-2020 19:22:17,marco.putotto
MMK,30-6-2020 00:00:00,1371.75,7-9-2020 10:40:54,Kevin.Allamagbo
MMK,30-9-2020 00:00:00,1323.31,24-11-2020 11:32:48,Kevin.Allamagbo
MNT,30-9-2019 00:00:00,2743.34,7-1-2020 00:00:00,Christophe.Fraulob
MNT,31-12-2019 00:00:00,2739.50,27-2-2020 11:05:15,nawel.octave
MNT,31-3-2020 00:00:00,2775.00,3-6-2020 19:22:17,marco.putotto
MNT,30-6-2020 00:00:00,2826.00,7-9-2020 10:40:54,Kevin.Allamagbo
MNT,30-9-2020 00:00:00,2850.50,24-11-2020 11:32:48,Kevin.Allamagbo
MXN,31-12-2017 00:00:00,19.56,6-8-2018 15:44:16,guillaume.marois
MXN,31-3-2018 00:00:00,18.25,6-8-2018 15:44:16,guillaume.marois
MXN,30-6-2018 00:00:00,18.18,24-10-2018 15:49:23,guillaume.marois
MXN,30-9-2018 00:00:00,17.64,13-11-2018 17:06:09,guillaume.marois
MXN,31-12-2018 00:00:00,19.69,11-2-2019 11:59:04,guillaume.marois
MXN,31-3-2019 00:00:00,17.64,27-5-2019 10:57:34,guillaume.marois
MXN,30-6-2019 00:00:00,17.64,3-6-2020 18:43:21,marco.putotto
MXN,30-9-2019 00:00:00,19.74,10-12-2019 16:29:45,Christophe.Fraulob
MXN,31-12-2019 00:00:00,18.88,27-2-2020 11:05:15,nawel.octave
MXN,31-3-2020 00:00:00,23.45,3-6-2020 19:22:17,marco.putotto
MXN,30-6-2020 00:00:00,23.10,7-9-2020 10:40:54,Kevin.Allamagbo
MXN,30-9-2020 00:00:00,22.07,24-11-2020 11:32:48,Kevin.Allamagbo
NGN,31-12-2017 00:00:00,360.00,6-8-2018 15:44:16,guillaume.marois
NGN,31-3-2018 00:00:00,359.95,6-8-2018 15:44:16,guillaume.marois
NGN,30-6-2018 00:00:00,199.00,24-10-2018 15:49:23,guillaume.marois
NGN,30-9-2018 00:00:00,199.00,13-11-2018 17:06:09,guillaume.marois
NGN,31-12-2018 00:00:00,363.50,11-2-2019 11:59:04,guillaume.marois
